movieId,title,genres
1,Toy Story (1995),Adventure|Comedy
2,Jumanji (1995),Adventure
6,Heat (1995),Action|Crime|Thriller
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
21,Get Shorty (1995),Comedy|Crime|Thriller
25,Leaving Las Vegas (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi|Thriller
34,Babe (1995),Drama
36,Dead Man Walking (1995),Crime|Drama
39,Clueless (1995),Comedy|Romance
45,To Die For (1995),Comedy|Drama|Thriller
47,Seven (a.k.a. Se7en) (1995),Thriller
50,"Usual Suspects, The (1995)",Crime|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
62,Mr. Holland's Opus (1995),Drama
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
104,Happy Gilmore (1996),Comedy
110,Braveheart (1995),Action|Drama
111,Taxi Driver (1976),Crime|Drama|Thriller
141,"Birdcage, The (1996)",Comedy
150,Apollo 13 (1995),Adventure|Drama
151,Rob Roy (1995),Action|Drama|Romance
161,Crimson Tide (1995),Drama|Thriller
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
180,Mallrats (1995),Comedy|Romance
198,Strange Days (1995),Action|Crime|Drama|Sci-Fi|Thriller
215,Before Sunrise (1995),Drama|Romance
223,Clerks (1994),Comedy
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,Ed Wood (1994),Comedy|Drama
246,Hoop Dreams (1994),Documentary
247,Heavenly Creatures (1994),Crime|Drama
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
266,Legends of the Fall (1994),Drama|Romance
272,"Madness of King George, The (1994)",Comedy|Drama
288,Natural Born Killers (1994),Action|Crime|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,Quiz Show (1994),Drama
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
316,Stargate (1994),Action|Adventure|Sci-Fi
318,"Shawshank Redemption, The (1994)",Crime|Drama
319,Shallow Grave (1994),Comedy|Drama|Thriller
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
337,What's Eating Gilbert Grape (1993),Drama
339,While You Were Sleeping (1995),Comedy|Romance
342,Muriel's Wedding (1994),Comedy
344,Ace Ventura: Pet Detective (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
348,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,"Client, The (1994)",Drama|Thriller
353,"Crow, The (1994)",Action|Crime|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance
357,Four Weddings and a Funeral (1994),Comedy|Romance
364,"Lion King, The (1994)",Adventure|Drama
